2015-12-15 12:30:00,625  INFO Loading Plugin org.openjump.core.ui.plugin.file.SaveImageAsSVGPlugIn took 0,02s 
2015-12-15 12:30:00,641  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.clipboard.CopyImagePlugIn took 0,02s 
2015-12-15 12:30:00,641  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.UndoPlugIn took 0,00s 
2015-12-15 12:30:00,641  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.RedoPlugIn took 0,00s 
2015-12-15 12:30:00,703  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.clipboard.CutSelectedItemsPlugIn took 0,06s 
2015-12-15 12:30:00,703  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.clipboard.CopySelectedItemsPlugIn took 0,00s 
2015-12-15 12:30:00,734  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.clipboard.PasteItemsPlugIn took 0,03s 
2015-12-15 12:30:00,734  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.DeleteSelectedItemsPlugIn took 0,00s 
2015-12-15 12:30:00,750  INFO Loading Plugin org.openjump.core.ui.plugin.edit.SelectAllLayerItemsPlugIn took 0,02s 
2015-12-15 12:30:00,750  INFO Loading Plugin org.openjump.core.ui.plugin.edit.SelectAllModifiedFeaturesPlugIn took 0,00s 
2015-12-15 12:30:00,766  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.SelectFeaturesInFencePlugIn took 0,00s 
2015-12-15 12:30:00,766  INFO Loading Plugin org.openjump.core.ui.plugin.edit.SelectItemsByFenceFromSelectedLayersPlugIn took 0,00s 
2015-12-15 12:30:00,766  INFO Loading Plugin org.openjump.core.ui.plugin.edit.SelectItemsByCircleFromSelectedLayersPlugIn took 0,00s 
2015-12-15 12:30:00,781  INFO Loading Plugin org.openjump.core.ui.plugin.edit.SelectByTypePlugIn took 0,01s 
2015-12-15 12:30:00,781  INFO Loading Plugin org.openjump.core.ui.plugin.edit.SelectLayersWithSelectedItemsPlugIn took 0,00s 
2015-12-15 12:30:00,797  INFO Loading Plugin org.openjump.core.ui.plugin.edit.InvertSelectionPlugIn took 0,02s 
2015-12-15 12:30:00,797  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.ClearSelectionPlugIn took 0,00s 
2015-12-15 12:30:00,828  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.AddNewFeaturesPlugIn took 0,03s 
2015-12-15 12:30:00,859  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.EditSelectedFeaturePlugIn took 0,03s 
2015-12-15 12:30:00,859  INFO Loading Plugin org.openjump.core.ui.plugin.edit.ReplicateSelectedItemsPlugIn took 0,00s 
2015-12-15 12:30:00,875  INFO Loading Plugin org.openjump.core.ui.plugin.mousemenu.MeasureSelectedPlugIn took 0,02s 
2015-12-15 12:30:00,891  INFO Loading Plugin org.openjump.core.ui.plugin.layer.ExtractLayersByGeometry took 0,02s 
2015-12-15 12:30:00,891  INFO Loading Plugin org.openjump.core.ui.plugin.layer.ExtractLayerInFence took 0,00s 
2015-12-15 12:30:00,906  INFO Loading Plugin org.openjump.core.ui.plugin.layer.ExtractLayersByAttribute took 0,01s 
2015-12-15 12:30:00,922  INFO Loading Plugin org.openjump.core.ui.plugin.edit.ClipToFencePlugIn took 0,02s 
2015-12-15 12:30:00,922  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.zoom.ZoomPreviousPlugIn took 0,00s 
2015-12-15 12:30:00,922  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.zoom.ZoomNextPlugIn took 0,00s 
2015-12-15 12:30:00,922  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.cursortool.editing.EditingPlugIn took 0,00s 
2015-12-15 12:30:00,938  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.MapToolTipsPlugIn took 0,02s 
2015-12-15 12:30:00,953  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.zoom.ZoomBarPlugIn took 0,01s 
2015-12-15 12:30:00,969  INFO Loading Plugin org.openjump.core.ui.plugin.view.ShowScalePlugIn took 0,02s 
2015-12-15 12:30:00,984  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.scalebar.ScaleBarPlugIn took 0,01s 
2015-12-15 12:30:01,000  INFO Loading Plugin org.openjump.core.ui.plugin.view.NorthArrowPlugIn took 0,02s 
2015-12-15 12:30:01,000  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.zoom.ZoomToFullExtentPlugIn took 0,00s 
2015-12-15 12:30:01,000  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.zoom.ZoomToFencePlugIn took 0,00s 
2015-12-15 12:30:01,000  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.zoom.ZoomToSelectedItemsPlugIn took 0,00s 
2015-12-15 12:30:01,016  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.zoom.ZoomToCoordinatePlugIn took 0,02s 
2015-12-15 12:30:01,031  INFO Loading Plugin org.openjump.core.ui.plugin.wms.ZoomToWMSLayerPlugIn took 0,01s 
2015-12-15 12:30:01,031  INFO Loading Plugin org.openjump.core.ui.plugin.view.ZoomToScalePlugIn took 0,00s 
2015-12-15 12:30:01,047  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.FeatureInfoPlugIn took 0,02s 
2015-12-15 12:30:01,063  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.VerticesInFencePlugIn took 0,02s 
2015-12-15 12:30:01,078  INFO Loading Plugin org.openjump.core.ui.plugin.edit.CopyBBoxPlugin took 0,01s 
2015-12-15 12:30:01,094  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.clipboard.CutSelectedLayersPlugIn took 0,02s 
2015-12-15 12:30:01,109  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.clipboard.CopySelectedLayersPlugIn took 0,01s 
2015-12-15 12:30:01,125  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.clipboard.PasteLayersPlugIn took 0,02s 
2015-12-15 12:30:01,125  INFO Loading Plugin org.openjump.core.ui.plugin.layer.CombineSelectedLayersPlugIn took 0,00s 
2015-12-15 12:30:01,141  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.DisposeSelectedLayersPlugIn took 0,02s 
2015-12-15 12:30:01,156  INFO Loading Plugin org.openjump.core.ui.plugin.layer.SortCategoryByFeaturesPlugIn took 0,01s 
2015-12-15 12:30:01,172  INFO Loading Plugin org.openjump.core.ui.plugin.layer.SortCategoryByNamePlugIn took 0,00s 
2015-12-15 12:30:01,172  INFO Loading Plugin org.openjump.core.ui.plugin.layer.SortCategoryRestorePlugIn took 0,00s 
2015-12-15 12:30:01,188  INFO Loading Plugin org.openjump.core.ui.plugin.layer.SortCategorySavePlugIn took 0,00s 
2015-12-15 12:30:01,203  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.RemoveSelectedCategoriesPlugIn took 0,01s 
2015-12-15 12:30:01,203  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.imagery.AddImageLayerPlugIn took 0,00s 
2015-12-15 12:30:01,219  INFO Loading Plugin com.vividsolutions.jump.workbench.ui.plugin.imagery.ImageLayerManagerPlugIn took 0,02s 
